Designator,Mid X,Mid Y,Rotation,Layer
_27,47.194466,-103.719153,0.0,top
_26,47.194466,-101.289153,0.0,top
_25,47.194466,-98.829153,0.0,top
_24,112.357336,-38.265477,0.0,top
_23,112.357336,-35.835477,0.0,top
_22,112.357336,-33.375477,0.0,top
_21,79.850953,-103.74477,0.0,top
_20,79.850953,-98.85477,0.0,top
_19,79.850953,-101.31477,0.0,top
_18,112.41749,-103.717144,0.0,top
_17,112.41749,-98.827144,0.0,top
_16,112.41749,-101.287144,0.0,top
_15,112.413976,-68.568751,0.0,top
_14,112.413976,-70.998751,0.0,top
_13,112.413976,-66.108751,0.0,top
_12,47.183976,-66.11076,0.0,top
_11,47.183976,-68.57076,0.0,top
_10,47.183976,-71.00076,0.0,top
_9,79.769047,-35.828751,0.0,top
_8,79.769047,-38.258751,0.0,top
_7,79.769047,-33.368751,0.0,top
_6,47.183976,-38.258751,0.0,top
_5,47.183976,-35.828751,0.0,top
_4,47.183976,-33.368751,0.0,top
_3,79.81,-66.11,0.0,top
_2,79.81,-71.0,0.0,top
,79.81,-68.57,0.0,top
C1_9,51.177179,-107.72759,0.0,top
C1_8,116.340049,-42.273914,0.0,top
C1_7,83.833666,-107.753207,0.0,top
C1_6,116.400203,-107.725581,0.0,top
C1_5,116.396689,-75.007188,0.0,top
C1_4,51.166689,-75.009197,0.0,top
C1_3,83.75176,-42.267188,0.0,top
C1_2,51.166689,-42.267188,0.0,top
C1,83.792713,-75.008437,0.0,top
C10_9,55.147179,-118.59359,0.0,top
C10_8,120.310049,-53.139914,0.0,top
C10_7,87.803666,-118.619207,0.0,top
C10_6,120.370203,-118.591581,0.0,top
C10_5,120.366689,-85.873188,0.0,top
C10_4,55.136689,-85.875197,0.0,top
C10_3,87.72176,-53.133188,0.0,top
C10_2,55.136689,-53.133188,0.0,top
C10,87.762713,-85.874437,0.0,top
C11_9,55.147179,-121.10759,0.0,top
C11_8,120.310049,-55.653914,0.0,top
C11_7,87.803666,-121.133207,0.0,top
C11_6,120.370203,-121.105581,0.0,top
C11_5,120.366689,-88.387188,0.0,top
C11_4,55.136689,-88.389197,0.0,top
C11_3,87.72176,-55.647188,0.0,top
C11_2,55.136689,-55.647188,0.0,top
C11,87.762713,-88.388437,0.0,top
C12_9,55.147179,-123.62159,0.0,top
C12_8,120.310049,-58.167914,0.0,top
C12_7,87.803666,-123.647207,0.0,top
C12_6,120.370203,-123.619581,0.0,top
C12_5,120.366689,-90.901188,0.0,top
C12_4,55.136689,-90.903197,0.0,top
C12_3,87.72176,-58.161188,0.0,top
C12_2,55.136689,-58.161188,0.0,top
C12,87.762713,-90.902437,0.0,top
C13_9,67.324466,-123.999153,180.0,top
C13_8,132.487336,-58.545477,180.0,top
C13_7,99.980953,-124.02477,180.0,top
C13_6,132.54749,-123.997144,180.0,top
C13_5,132.543976,-91.278751,180.0,top
C13_4,67.313976,-91.28076,180.0,top
C13_3,99.899047,-58.538751,180.0,top
C13_2,67.313976,-58.538751,180.0,top
C13,99.94,-91.28,180.0,top
C14_9,67.324466,-121.509153,180.0,top
C14_8,132.487336,-56.055477,180.0,top
C14_7,99.980953,-121.53477,180.0,top
C14_6,132.54749,-121.507144,180.0,top
C14_5,132.543976,-88.788751,180.0,top
C14_4,67.313976,-88.79076,180.0,top
C14_3,99.899047,-56.048751,180.0,top
C14_2,67.313976,-56.048751,180.0,top
C14,99.94,-88.79,180.0,top
C15_9,67.324466,-118.999153,180.0,top
C15_8,132.487336,-53.545477,180.0,top
C15_7,99.980953,-119.02477,180.0,top
C15_6,132.54749,-118.997144,180.0,top
C15_5,132.543976,-86.278751,180.0,top
C15_4,67.313976,-86.28076,180.0,top
C15_3,99.899047,-53.538751,180.0,top
C15_2,67.313976,-53.538751,180.0,top
C15,99.94,-86.28,180.0,top
C16_9,67.334466,-116.489153,180.0,top
C16_8,132.497336,-51.035477,180.0,top
C16_7,99.990953,-116.51477,180.0,top
C16_6,132.55749,-116.487144,180.0,top
C16_5,132.553976,-83.768751,180.0,top
C16_4,67.323976,-83.77076,180.0,top
C16_3,99.909047,-51.028751,180.0,top
C16_2,67.323976,-51.028751,180.0,top
C16,99.95,-83.77,180.0,top
C17_9,67.344466,-113.979153,180.0,top
C17_8,132.507336,-48.525477,180.0,top
C17_7,100.000953,-114.00477,180.0,top
C17_6,132.56749,-113.977144,180.0,top
C17_5,132.563976,-81.258751,180.0,top
C17_4,67.333976,-81.26076,180.0,top
C17_3,99.919047,-48.518751,180.0,top
